Stock,Degree
TATAPOWER.NS,72
IRCTC.NS,68
RECLTD.NS,68
DLF.NS,68
LICHSGFIN.NS,66
CANBK.NS,64
BHEL.NS,63
PFC.NS,63
SAIL.NS,62
BEL.NS,60
GAIL.NS,57
HAL.NS,56
BANKBARODA.NS,55
PNB.NS,55
AMBUJACEM.NS,54
ADANIPORTS.NS,52
NMDC.NS,51
TATASTEEL.NS,51
IOC.NS,49
ACC.NS,49
COALINDIA.NS,49
NTPC.NS,47
SBIN.NS,46
NHPC.NS,46
NATIONALUM.NS,46
CONCOR.NS,46
HUDCO.NS,43
UNIONBANK.NS,43
BPCL.NS,42
VEDL.NS,42
ONGC.NS,42
IRB.NS,41
HDFCAMC.NS,40
GMRAIRPORT.NS,40
ABCAPITAL.NS,40
ADANIENT.NS,38
LT.NS,38
LICI.NS,37
BANKINDIA.NS,37
ASHOKLEY.NS,35
CUMMINSIND.NS,33
SIEMENS.NS,33
LTF.NS,33
BHARATFORG.NS,32
POWERGRID.NS,32
EXIDEIND.NS,32
GODREJPROP.NS,31
SHRIRAMFIN.NS,30
HINDPETRO.NS,28
JINDALSTEL.NS,28
IRFC.NS,24
JSWENERGY.NS,22
INDIANB.NS,20
RELIANCE.NS,20
MOTHERSON.NS,19
RVNL.NS,19
OBEROIRLTY.NS,18
IDFCFIRSTB.NS,17
JSWSTEEL.NS,16
INDUSTOWER.NS,15
M&MFIN.NS,15
INDHOTEL.NS,14
ABB.NS,14
JIOFIN.NS,13
DIXON.NS,12
HINDALCO.NS,12
YESBANK.NS,11
TECHM.NS,10
BDL.NS,10
MPHASIS.NS,10
IREDA.NS,10
MAZDOCK.NS,10
OIL.NS,10
PERSISTENT.NS,9
COCHINSHIP.NS,9
COFORGE.NS,9
WIPRO.NS,9
INFY.NS,8
ATGL.NS,8
ADANIPOWER.NS,8
ADANIGREEN.NS,8
ADANIENSOL.NS,8
HCLTECH.NS,8
PATANJALI.NS,8
TCS.NS,8
LTIM.NS,8
FEDERALBNK.NS,7
IDEA.NS,7
GRASIM.NS,7
ULTRACEMCO.NS,7
TVSMOTOR.NS,6
CHOLAFIN.NS,6
AXISBANK.NS,6
LUPIN.NS,5
BAJAJFINSV.NS,5
HINDUNILVR.NS,5
SUNPHARMA.NS,4
MARICO.NS,4
NAUKRI.NS,4
GODREJCP.NS,4
ICICIBANK.NS,4
BAJFINANCE.NS,4
SOLARINDS.NS,4
TATACOMM.NS,4
PRESTIGE.NS,3
OFSS.NS,3
LODHA.NS,3
UPL.NS,3
NESTLEIND.NS,3
BRITANNIA.NS,3
CIPLA.NS,3
DABUR.NS,3
COLPAL.NS,3
ZYDUSLIFE.NS,3
EICHERMOT.NS,2
AUROPHARMA.NS,2
APLAPOLLO.NS,2
MFSL.NS,2
HAVELLS.NS,2
BAJAJ-AUTO.NS,2
BIOCON.NS,2
DRREDDY.NS,2
MARUTI.NS,2
SBILIFE.NS,2
SHREECEM.NS,2
HDFCLIFE.NS,2
HEROMOTOCO.NS,2
HDFCBANK.NS,2
ASTRAL.NS,1
CGPOWER.NS,1
HINDZINC.NS,1
KEI.NS,1
GLENMARK.NS,1
POLYCAB.NS,1
SBICARD.NS,1
TATACONSUM.NS,1
TORNTPOWER.NS,1
TATATECH.NS,1
SRF.NS,1
ETERNAL.NS,1
BOSCHLTD.NS,1
KPITTECH.NS,1
M&M.NS,1
FORTIS.NS,0
DMART.NS,0
BLUESTARCO.NS,0
BHARTIARTL.NS,0
COROMANDEL.NS,0
DIVISLAB.NS,0
APOLLOHOSP.NS,0
ASIANPAINT.NS,0
360ONE.NS,0
ALKEM.NS,0
AUBANK.NS,0
BAJAJHLDNG.NS,0
BHARTIHEXA.NS,0
BSE.NS,0
MUTHOOTFIN.NS,0
MRF.NS,0
MOTILALOFS.NS,0
MAXHEALTH.NS,0
MANKIND.NS,0
ITC.NS,0
KOTAKBANK.NS,0
KALYANKJIL.NS,0
JUBLFOOD.NS,0
ICICIGI.NS,0
INDUSINDBK.NS,0
GODFRYPHLP.NS,0
IGL.NS,0
INDIGO.NS,0
PAGEIND.NS,0
PAYTM.NS,0
PIIND.NS,0
PIDILITIND.NS,0
POLICYBZR.NS,0
PHOENIXLTD.NS,0
POWERINDIA.NS,0
NYKAA.NS,0
SONACOMS.NS,0
SUPREMEIND.NS,0
SUZLON.NS,0
TATAELXSI.NS,0
TITAN.NS,0
TORNTPHARM.NS,0
TRENT.NS,0
TIINDIA.NS,0
VBL.NS,0
VOLTAS.NS,0
